# y+ ()           
# Time            	patch             	min               	max               	average           
0.0029642992      	printed	1.7562498518e-04	6.3482797776e+00	1.2703639619e+00
0.0029642992      	laptop	1.4411579606e-02	8.0410633217e+00	1.1522476623e+00
0.0029642992      	noctua	3.6848084571e-03	5.8652436686e+00	1.5992823559e+00
0.0029642992      	wall_plane	3.4355342615e-03	3.4302184015e+00	1.5242483347e+00
0.0055142992      	printed	2.5242732050e-04	8.5052131814e+00	1.6511292655e+00
0.0055142992      	laptop	3.5995136445e-02	9.8148142622e+00	1.4638420592e+00
0.0055142992      	noctua	3.8984784298e-03	7.1638157603e+00	2.0275513045e+00
0.0055142992      	wall_plane	4.2760677045e-03	4.6955129074e+00	2.0720779391e+00
0.0072392992      	printed	3.2763665731e-04	9.5222028600e+00	1.8344742111e+00
0.0072392992      	laptop	3.5946170786e-02	1.1934413275e+01	1.6060935419e+00
0.0072392992      	noctua	3.8440033387e-03	7.6584785179e+00	2.2343273461e+00
0.0072392992      	wall_plane	4.4967988947e-03	5.3997498372e+00	2.3703916892e+00
0.0087392992      	printed	3.8960161469e-04	1.0284950566e+01	1.9735286747e+00
0.0087392992      	laptop	4.2181758730e-02	1.3007937994e+01	1.7120445869e+00
0.0087392992      	noctua	3.7551691616e-03	7.9435237774e+00	2.3861256825e+00
0.0087392992      	wall_plane	4.5665664495e-03	5.9562676299e+00	2.6021848300e+00
0.0103892992      	printed	4.4503424819e-04	1.0958519414e+01	2.1167532818e+00
0.0103892992      	laptop	4.5349840889e-02	1.3158550216e+01	1.8260512671e+00
0.0103892992      	noctua	3.6221752351e-03	8.2819950453e+00	2.5321616020e+00
0.0103892992      	wall_plane	4.4733954916e-03	6.5278731604e+00	2.8362844693e+00
